filename, language, JSON, JavaScript, YAML, Dockerfile, comment, blank, total
.eslintrc.json, JSON, 0, 0, 0, 0, 80, 0, 80
.prettierrc, JSON, 9, 0, 0, 0, 0, 0, 9
Dockerfile, Dockerfile, 0, 0, 0, 7, 0, 6, 13
docker-compose.yml, YAML, 0, 0, 19, 0, 0, 1, 20
package-lock.json, JSON, 6703, 0, 0, 0, 0, 1, 6704
package.json, JSON, 60, 0, 0, 0, 0, 0, 60
server\Yarkesh.postman_collection.json, JSON, 579, 0, 0, 0, 0, 0, 579
server\api\controllers\activity\create.js, JavaScript, 0, 18, 0, 0, 0, 1, 19
server\api\controllers\activity\delete.js, JavaScript, 0, 0, 0, 0, 1, 1, 2
server\api\controllers\activity\edit.js, JavaScript, 0, 0, 0, 0, 1, 1, 2
server\api\controllers\activity\info.js, JavaScript, 0, 19, 0, 0, 0, 3, 22
server\api\controllers\assignment\create.js, JavaScript, 0, 86, 0, 0, 0, 5, 91
server\api\controllers\assignment\delete.js, JavaScript, 0, 0, 0, 0, 2, 1, 3
server\api\controllers\assignment\edit.js, JavaScript, 0, 0, 0, 0, 2, 1, 3
server\api\controllers\assignment\info.js, JavaScript, 0, 25, 0, 0, 0, 2, 27
server\api\controllers\configurationController.js, JavaScript, 0, 16, 0, 0, 0, 3, 19
server\api\controllers\databaseCreateFakeData.js, JavaScript, 0, 322, 0, 0, 5, 19, 346
server\api\controllers\dependency\create.js, JavaScript, 0, 86, 0, 0, 0, 5, 91
server\api\controllers\dependency\delete.js, JavaScript, 0, 0, 0, 0, 1, 1, 2
server\api\controllers\dependency\edit.js, JavaScript, 0, 0, 0, 0, 1, 1, 2
server\api\controllers\dependency\info.js, JavaScript, 0, 18, 0, 0, 0, 1, 19
server\api\controllers\errorHandler.js, JavaScript, 0, 24, 0, 0, 0, 3, 27
server\api\controllers\image\Resize.js, JavaScript, 0, 25, 0, 0, 2, 2, 29
server\api\controllers\mailController.js, JavaScript, 0, 55, 0, 0, 22, 5, 82
server\api\controllers\milestone\create.js, JavaScript, 0, 55, 0, 0, 0, 14, 69
server\api\controllers\milestone\delete.js, JavaScript, 0, 0, 0, 0, 2, 1, 3
server\api\controllers\milestone\edit.js, JavaScript, 0, 22, 0, 0, 0, 4, 26
server\api\controllers\milestone\info.js, JavaScript, 0, 19, 0, 0, 0, 2, 21
server\api\controllers\projectMember\create.js, JavaScript, 0, 59, 0, 0, 0, 6, 65
server\api\controllers\projectMember\delete.js, JavaScript, 0, 25, 0, 0, 0, 4, 29
server\api\controllers\projectMember\edit.js, JavaScript, 0, 24, 0, 0, 0, 3, 27
server\api\controllers\projectMember\info.js, JavaScript, 0, 18, 0, 0, 1, 1, 20
server\api\controllers\project\create.js, JavaScript, 0, 87, 0, 0, 1, 3, 91
server\api\controllers\project\delete.js, JavaScript, 0, 19, 0, 0, 0, 1, 20
server\api\controllers\project\edit.js, JavaScript, 0, 36, 0, 0, 36, 8, 80
server\api\controllers\project\info.js, JavaScript, 0, 164, 0, 0, 3, 7, 174
server\api\controllers\sprint\create.js, JavaScript, 0, 61, 0, 0, 0, 14, 75
server\api\controllers\sprint\delete.js, JavaScript, 0, 26, 0, 0, 0, 2, 28
server\api\controllers\sprint\edit.js, JavaScript, 0, 0, 0, 0, 36, 4, 40
server\api\controllers\sprint\info.js, JavaScript, 0, 49, 0, 0, 32, 9, 90
server\api\controllers\story\create.js, JavaScript, 0, 97, 0, 0, 0, 4, 101
server\api\controllers\story\delete.js, JavaScript, 0, 19, 0, 0, 5, 0, 24
server\api\controllers\story\edit.js, JavaScript, 0, 177, 0, 0, 4, 16, 197
server\api\controllers\story\info.js, JavaScript, 0, 117, 0, 0, 3, 6, 126
server\api\controllers\user\create.js, JavaScript, 0, 131, 0, 0, 11, 12, 154
server\api\controllers\user\delete.js, JavaScript, 0, 29, 0, 0, 1, 1, 31
