Date : 2019-10-26 03:16:36
Directory : d:\APPS\deploy Yarkesh\Yarkesh
Total : 123 files,  12119 codes, 434 comments, 535 blanks, all 13088 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |      7,351 |         80 |          1 |      7,432 |
| JavaScript |        116 |      4,742 |        354 |        527 |      5,623 |
| YAML       |          1 |         19 |          0 |          1 |         20 |
| Dockerfile |          1 |          7 |          0 |          6 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        123 |     12,119 |        434 |        535 |     13,088 |
| server                                                                                    |        113 |      5,045 |        341 |        500 |      5,886 |
| server\api                                                                                |        110 |      4,431 |        316 |        481 |      5,228 |
| server\api\controllers                                                                    |         41 |      2,293 |        185 |        194 |      2,672 |
| server\api\validators                                                                     |         40 |      1,001 |         86 |        166 |      1,253 |
| server\api\validators\userValidator                                                       |          7 |        690 |         61 |         84 |        835 |
| server\api\models                                                                         |         14 |        534 |         22 |         49 |        605 |
| server\api\controllers\user                                                               |          4 |        525 |         25 |         30 |        580 |
| server\api\routes                                                                         |         12 |        465 |         23 |         61 |        549 |
| server\api\controllers\story                                                              |          4 |        410 |         12 |         26 |        448 |
| server\api\controllers\project                                                            |          4 |        306 |         40 |         19 |        365 |
| test                                                                                      |          4 |        276 |         13 |         27 |        316 |
| server\api\middlewares                                                                    |          3 |        138 |          0 |         11 |        149 |
| server\api\controllers\sprint                                                             |          4 |        136 |         68 |         29 |        233 |
| server\api\controllers\projectMember                                                      |          4 |        126 |          1 |         14 |        141 |
| server\api\validators\projectValidator                                                    |          8 |        117 |          4 |         29 |        150 |
| server\api\controllers\assignment                                                         |          4 |        111 |          4 |          9 |        124 |
| server\api\controllers\dependency                                                         |          4 |        104 |          2 |          8 |        114 |
| server\api\controllers\milestone                                                          |          4 |         96 |          2 |         21 |        119 |
| server\api\validators\sprintValidator                                                     |          4 |         79 |          8 |         21 |        108 |
| server\api\validators\storyValidator                                                      |         12 |         39 |          9 |         12 |         60 |
| server\api\validators\activityValidator                                                   |          2 |         37 |          0 |          8 |         45 |
| server\api\controllers\activity                                                           |          4 |         37 |          2 |          6 |         45 |
| server\api\validators\projectMemberValidator                                              |          4 |         26 |          2 |          8 |         36 |
| server\api\controllers\image                                                              |          1 |         25 |          2 |          2 |         29 |
| server\api\validators\milestoneValidator                                                  |          3 |         13 |          2 |          4 |         19 |
| server\api\validators\storyValidator\assignmentValidator                                  |          2 |          0 |          2 |          0 |          2 |
| server\api\validators\storyValidator\dependencyValidator                                  |          2 |          0 |          2 |          0 |          2 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .eslintrc.json                                                                            | JSON       |          0 |         80 |          0 |         80 |
| .prettierrc                                                                               | JSON       |          9 |          0 |          0 |          9 |
| Dockerfile                                                                                | Dockerfile |          7 |          0 |          6 |         13 |
| docker-compose.yml                                                                        | YAML       |         19 |          0 |          1 |         20 |
| package-lock.json                                                                         | JSON       |      6,703 |          0 |          1 |      6,704 |
| package.json                                                                              | JSON       |         60 |          0 |          0 |         60 |
| server\Yarkesh.postman_collection.json                                                    | JSON       |        579 |          0 |          0 |        579 |
| server\api\controllers\activity\create.js                                                 | JavaScript |         18 |          0 |          1 |         19 |
| server\api\controllers\activity\delete.js                                                 | JavaScript |          0 |          1 |          1 |          2 |
| server\api\controllers\activity\edit.js                                                   | JavaScript |          0 |          1 |          1 |          2 |
| server\api\controllers\activity\info.js                                                   | JavaScript |         19 |          0 |          3 |         22 |
| server\api\controllers\assignment\create.js                                               | JavaScript |         86 |          0 |          5 |         91 |
| server\api\controllers\assignment\delete.js                                               | JavaScript |          0 |          2 |          1 |          3 |
| server\api\controllers\assignment\edit.js                                                 | JavaScript |          0 |          2 |          1 |          3 |
| server\api\controllers\assignment\info.js                                                 | JavaScript |         25 |          0 |          2 |         27 |
| server\api\controllers\configurationController.js                                         | JavaScript |         16 |          0 |          3 |         19 |
| server\api\controllers\databaseCreateFakeData.js                                          | JavaScript |        322 |          5 |         19 |        346 |
| server\api\controllers\dependency\create.js                                               | JavaScript |         86 |          0 |          5 |         91 |
| server\api\controllers\dependency\delete.js                                               | JavaScript |          0 |          1 |          1 |          2 |
| server\api\controllers\dependency\edit.js                                                 | JavaScript |          0 |          1 |          1 |          2 |
| server\api\controllers\dependency\info.js                                                 | JavaScript |         18 |          0 |          1 |         19 |
| server\api\controllers\errorHandler.js                                                    | JavaScript |         24 |          0 |          3 |         27 |
| server\api\controllers\image\Resize.js                                                    | JavaScript |         25 |          2 |          2 |         29 |
| server\api\controllers\mailController.js                                                  | JavaScript |         55 |         22 |          5 |         82 |
| server\api\controllers\milestone\create.js                                                | JavaScript |         55 |          0 |         14 |         69 |
| server\api\controllers\milestone\delete.js                                                | JavaScript |          0 |          2 |          1 |          3 |
| server\api\controllers\milestone\edit.js                                                  | JavaScript |         22 |          0 |          4 |         26 |
| server\api\controllers\milestone\info.js                                                  | JavaScript |         19 |          0 |          2 |         21 |
| server\api\controllers\projectMember\create.js                                            | JavaScript |         59 |          0 |          6 |         65 |
| server\api\controllers\projectMember\delete.js                                            | JavaScript |         25 |          0 |          4 |         29 |
| server\api\controllers\projectMember\edit.js                                              | JavaScript |         24 |          0 |          3 |         27 |
| server\api\controllers\projectMember\info.js                                              | JavaScript |         18 |          1 |          1 |         20 |
| server\api\controllers\project\create.js                                                  | JavaScript |         87 |          1 |          3 |         91 |
| server\api\controllers\project\delete.js                                                  | JavaScript |         19 |          0 |          1 |         20 |
| server\api\controllers\project\edit.js                                                    | JavaScript |         36 |         36 |          8 |         80 |
| server\api\controllers\project\info.js                                                    | JavaScript |        164 |          3 |          7 |        174 |
| server\api\controllers\sprint\create.js                                                   | JavaScript |         61 |          0 |         14 |         75 |
| server\api\controllers\sprint\delete.js                                                   | JavaScript |         26 |          0 |          2 |         28 |
| server\api\controllers\sprint\edit.js                                                     | JavaScript |          0 |         36 |          4 |         40 |
| server\api\controllers\sprint\info.js                                                     | JavaScript |         49 |         32 |          9 |         90 |
| server\api\controllers\story\create.js                                                    | JavaScript |         97 |          0 |          4 |        101 |
| server\api\controllers\story\delete.js                                                    | JavaScript |         19 |          5 |          0 |         24 |
| server\api\controllers\story\edit.js                                                      | JavaScript |        177 |          4 |         16 |        197 |
| server\api\controllers\story\info.js                                                      | JavaScript |        117 |          3 |          6 |        126 |
| server\api\controllers\user\create.js                                                     | JavaScript |        131 |         11 |         12 |        154 |
| server\api\controllers\user\delete.js                                                     | JavaScript |         29 |          1 |          1 |         31 |
| server\api\controllers\user\edit.js                                                       | JavaScript |        267 |         12 |         11 |        290 |
| server\api\controllers\user\info.js                                                       | JavaScript |         98 |          1 |          6 |        105 |
| server\api\middlewares\authentication.js                                                  | JavaScript |        114 |          0 |          8 |        122 |
| server\api\middlewares\passportJWTConfig.js                                               | JavaScript |         17 |          0 |          1 |         18 |
| server\api\middlewares\uploadMiddleware.js                                                | JavaScript |          7 |          0 |          2 |          9 |
| server\api\models\activities.js                                                           | JavaScript |         19 |          1 |          3 |         23 |
| server\api\models\assignments.js                                                          | JavaScript |         23 |          1 |          2 |         26 |
| server\api\models\configuration.js                                                        | JavaScript |         19 |          0 |          2 |         21 |
| server\api\models\databaseConnection.js                                                   | JavaScript |         13 |          1 |          3 |         17 |
| server\api\models\databaseRelations.js                                                    | JavaScript |        136 |          0 |         14 |        150 |
| server\api\models\dependencies.js                                                         | JavaScript |         23 |          1 |          2 |         26 |
| server\api\models\milestone.js                                                            | JavaScript |         23 |          1 |          3 |         27 |
| server\api\models\notConfirmedUsers.js                                                    | JavaScript |         37 |          1 |          2 |         40 |
| server\api\models\projectMembers.js                                                       | JavaScript |         23 |          1 |          3 |         27 |
| server\api\models\projects.js                                                             | JavaScript |         49 |          1 |          3 |         53 |
| server\api\models\sprints.js                                                              | JavaScript |         35 |          1 |          4 |         40 |
| server\api\models\stories.js                                                              | JavaScript |         74 |         11 |          4 |         89 |
| server\api\models\storySprints.js                                                         | JavaScript |         23 |          1 |          2 |         26 |
| server\api\models\users.js                                                                | JavaScript |         37 |          1 |          2 |         40 |
| server\api\routes\activityRouter.js                                                       | JavaScript |         22 |          0 |          2 |         24 |
| server\api\routes\assignmentRouter.js                                                     | JavaScript |         22 |          0 |          5 |         27 |
| server\api\routes\configurationRouter.js                                                  | JavaScript |          7 |          0 |          2 |          9 |
| server\api\routes\createData.js                                                           | JavaScript |          7 |          6 |          3 |         16 |
| server\api\routes\dependencyRouter.js                                                     | JavaScript |         22 |          1 |          5 |         28 |
| server\api\routes\milestoneRouter.js                                                      | JavaScript |         31 |          0 |          1 |         32 |
| server\api\routes\projectMemberRoutes.js                                                  | JavaScript |         40 |          0 |          2 |         42 |
| server\api\routes\projectRoutes.js                                                        | JavaScript |         91 |          8 |         14 |        113 |
| server\api\routes\router.js                                                               | JavaScript |         24 |          0 |          3 |         27 |
| server\api\routes\sprintRouter.js                                                         | JavaScript |         55 |          8 |          5 |         68 |
| server\api\routes\storyRoutes.js                                                          | JavaScript |         76 |          0 |          9 |         85 |
| server\api\routes\userRoutes.js                                                           | JavaScript |         68 |          0 |         10 |         78 |
| server\api\validators\activityValidator\createActivityValidator.js                        | JavaScript |         24 |          0 |          4 |         28 |
| server\api\validators\activityValidator\getProjectActivitiesOnlyValidator.js              | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\milestoneValidator\createMilestoneValidator.js                      | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\milestoneValidator\editMilestoneValidator.js                        | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\milestoneValidator\getMilestonesValidator.js                        | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectMemberValidator\addMemberValidator.js                        | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\projectMemberValidator\deleteMemberValidator.js                     | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\projectMemberValidator\getProjectMembersValidator.js                | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectMemberValidator\leaveProjectValidator.js                     | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectValidator\createProject.js                                   | JavaScript |         31 |          3 |          5 |         39 |
| server\api\validators\projectValidator\deleteProject.js                                   | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectValidator\editProjectValidator.js                            | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\projectValidator\getPoolAndSprintsValidator.js                      | JavaScript |         21 |          0 |          5 |         26 |
| server\api\validators\projectValidator\getProjectSprintDetailsValidator.js                | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectValidator\getProjectSprintsValidator.js                      | JavaScript |         13 |          0 |          3 |         16 |
| server\api\validators\projectValidator\getProjectTimelineValidator.js                     | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\projectValidator\projectDetails.js                                  | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\sprintValidator\createSprint.js                                     | JavaScript |         24 |          8 |          7 |         39 |
| server\api\validators\sprintValidator\deleteSprint.js                                     | JavaScript |         21 |          0 |          5 |         26 |
| server\api\validators\sprintValidator\getProjectSprints.js                                | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\sprintValidator\getSprintStories.js                                 | JavaScript |         21 |          0 |          5 |         26 |
| server\api\validators\storyValidator\assignmentValidator\createAssignmentValidator.js     | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\assignmentValidator\getStoryAssignmentsValidator.js  | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\changeStorySprintValidator.js                        | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\createStoryValidator.js                              | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\deleteStoryValidator.js                              | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\dependencyValidator\createDependencyValidator.js     | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\dependencyValidator\getStoryDependenciesValidator.js | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\editStoryValidator.js                                | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\storyValidator\getProjectStoriesBacklogValidator.js                 | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\storyValidator\getProjectStoriesValidator.js                        | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\storyValidator\getProjectStoriesWithDetailValidator.js              | JavaScript |         13 |          0 |          4 |         17 |
| server\api\validators\storyValidator\getStoryDetails.js                                   | JavaScript |          0 |          1 |          0 |          1 |
| server\api\validators\userValidator\changePassword.js                                     | JavaScript |        123 |          0 |         17 |        140 |
| server\api\validators\userValidator\confirmEmail.js                                       | JavaScript |        120 |          1 |         13 |        134 |
| server\api\validators\userValidator\editPassword.js                                       | JavaScript |         77 |          1 |          9 |         87 |
| server\api\validators\userValidator\forgotPassword.js                                     | JavaScript |         70 |          0 |          9 |         79 |
| server\api\validators\userValidator\signIn.js                                             | JavaScript |        118 |          1 |         10 |        129 |
| server\api\validators\userValidator\signUp.js                                             | JavaScript |        151 |         58 |         24 |        233 |
| server\api\validators\userValidator\userSearch.js                                         | JavaScript |         31 |          0 |          2 |         33 |
| server\app.js                                                                             | JavaScript |         29 |         25 |         13 |         67 |
| server\server.js                                                                          | JavaScript |          6 |          0 |          6 |         12 |
| test\dataForTests.js                                                                      | JavaScript |         59 |          4 |          8 |         71 |
| test\projectController.test.js                                                            | JavaScript |         75 |          3 |          7 |         85 |
| test\projectMemberController.test.js                                                      | JavaScript |         46 |          2 |          3 |         51 |
| test\userController.test.js                                                               | JavaScript |         96 |          4 |          9 |        109 |
| Total                                                                                     |            |     12,119 |        434 |        535 |     13,088 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
